date/time: ,12/06/2018,04:48 p.m.
Run 1

time	(MT)
0,000000	-2,164175E-1
0,050000	-1,283824E-1
0,100000	-2,953706E-1
0,150000	-4,825260E-2
0,200000	-3,757987E-1
0,250000	3,326933E-2
0,300000	-4,552159E-1
0,350000	1,113938E-1
0,400000	-5,344922E-1
0,450000	1,895846E-1
0,500000	-6,104540E-1
0,550000	2,618092E-1
0,600000	-6,793888E-1
0,650000	3,289293E-1
0,700000	-7,438904E-1
0,750000	3,929005E-1
0,800000	-8,030141E-1
0,850000	4,479142E-1
0,900000	-8,548789E-1
0,950000	4,958429E-1
1,000000	-9,001974E-1
1,050000	5,394378E-1
1,100000	-9,373206E-1
1,150000	5,701639E-1
1,200000	-9,644587E-1
1,250000	5,938134E-1
1,300000	-9,841721E-1
1,350000	6,068645E-1
1,400000	-9,951848E-1
1,450000	6,122590E-1
1,500000	-9,960466E-1
1,550000	6,090604E-1
1,600000	-9,882739E-1
1,650000	5,971694E-1
1,700000	-9,723225E-1
1,750000	5,772985E-1
1,800000	-9,479852E-1
1,850000	5,495887E-1
1,900000	-9,163974E-1
1,950000	5,151669E-1
2,000000	-8,758353E-1
2,050000	4,712488E-1
2,100000	-8,295638E-1
2,150000	4,231543E-1
2,200000	-7,761992E-1
2,250000	3,650830E-1
2,300000	-7,166032E-1
2,350000	3,009128E-1
2,400000	-6,490522E-1
2,450000	2,315305E-1
2,500000	-5,782114E-1
2,550000	1,594303E-1
2,600000	-5,020011E-1
2,650000	8,104062E-2
2,700000	-4,241915E-1
2,750000	1,192550E-3
2,800000	-3,433076E-1
2,850000	-7,895383E-2
2,900000	-2,604847E-1
2,950000	-1,608155E-1
3,000000	-1,798329E-1
3,050000	-2,434644E-1
3,100000	-9,830266E-2
3,150000	-3,261464E-1
3,200000	-1,526431E-2
3,250000	-4,089196E-1
3,300000	6,679624E-2
3,350000	-4,900272E-1
3,400000	1,499506E-1
3,450000	-5,693450E-1
3,500000	2,251251E-1
3,550000	-6,446355E-1
3,600000	2,968193E-1
3,650000	-7,138852E-1
3,700000	3,624230E-1
3,750000	-7,753540E-1
3,800000	4,229057E-1
3,850000	-8,321326E-1
3,900000	4,762869E-1
3,950000	-8,821992E-1
4,000000	5,213651E-1
4,050000	-9,256782E-1
4,100000	5,577591E-1
4,150000	-9,563545E-1
4,200000	5,862479E-1
4,250000	-9,795400E-1
4,300000	6,052155E-1
4,350000	-9,925248E-1
4,400000	6,131457E-1
4,450000	-9,964277E-1
4,500000	6,107343E-1
4,550000	-9,913399E-1
4,600000	6,025804E-1
4,650000	-9,782970E-1
4,700000	5,865048E-1
4,750000	-9,563960E-1
4,800000	5,611649E-1
4,850000	-9,269460E-1
4,900000	5,260221E-1
4,950000	-8,895825E-1
5,000000	4,840099E-1

