date/time: ,12/06/2018,05:13 p.m.
Run 1

time	(MT)
0,000000	-2,023554E-1
0,000050	-2,148348E-1
0,000100	-2,148348E-1
0,000150	-2,189946E-1
0,000200	-2,106750E-1
0,000250	-2,085951E-1
0,000300	-2,085951E-1
0,000350	-2,065152E-1
0,000400	-2,106750E-1
0,000450	-2,106750E-1
0,000500	-2,169147E-1
0,000550	-2,085951E-1
0,000600	-2,189946E-1
0,000650	-2,002755E-1
0,000700	-2,127549E-1
0,000750	-2,044353E-1
0,000800	-2,189946E-1
0,000850	-2,023554E-1
0,000900	-2,127549E-1
0,000950	-2,127549E-1
0,001000	-2,127549E-1
0,001050	-2,127549E-1
0,001100	-2,106750E-1
0,001150	-2,106750E-1
0,001200	-2,065152E-1
0,001250	-2,085951E-1
0,001300	-2,106750E-1
0,001350	-2,169147E-1
0,001400	-2,044353E-1
0,001450	-2,148348E-1
0,001500	-2,044353E-1
0,001550	-2,127549E-1
0,001600	-2,023554E-1
0,001650	-2,127549E-1
0,001700	-2,023554E-1
0,001750	-2,169147E-1
0,001800	-2,044353E-1
0,001850	-2,023554E-1
0,001900	-2,023554E-1
0,001950	-1,981956E-1
0,002000	-2,044353E-1
0,002050	-2,023554E-1
0,002100	-2,044353E-1
0,002150	-2,065152E-1
0,002200	-2,065152E-1
0,002250	-1,961157E-1
0,002300	-2,044353E-1
0,002350	-1,940358E-1
0,002400	-2,065152E-1
0,002450	-1,961157E-1
0,002500	-2,127549E-1
0,002550	-1,961157E-1
0,002600	-2,044353E-1
0,002650	-2,065152E-1
0,002700	-2,002755E-1
0,002750	-2,023554E-1
0,002800	-2,023554E-1
0,002850	-2,023554E-1
0,002900	-2,065152E-1
0,002950	-2,002755E-1
0,003000	-2,002755E-1
0,003050	-2,106750E-1
0,003100	-1,940358E-1
0,003150	-2,065152E-1
0,003200	-2,002755E-1
0,003250	-2,023554E-1
0,003300	-1,919559E-1
0,003350	-2,023554E-1
0,003400	-1,919559E-1
0,003450	-2,023554E-1
0,003500	-1,961157E-1
0,003550	-1,981956E-1
0,003600	-2,002755E-1
0,003650	-1,940358E-1
0,003700	-1,981956E-1
0,003750	-2,002755E-1
0,003800	-1,919559E-1
0,003850	-1,857162E-1
0,003900	-1,981956E-1
0,003950	-1,919559E-1
0,004000	-2,002755E-1
0,004050	-1,940358E-1
0,004100	-2,023554E-1
0,004150	-1,898760E-1
0,004200	-2,002755E-1
0,004250	-1,898760E-1
0,004300	-1,961157E-1
0,004350	-1,919559E-1
0,004400	-1,961157E-1
0,004450	-1,940358E-1
0,004500	-1,919559E-1
0,004550	-1,919559E-1
0,004600	-1,919559E-1
0,004650	-1,898760E-1
0,004700	-1,940358E-1
0,004750	-1,940358E-1
0,004800	-1,877961E-1
0,004850	-1,940358E-1
0,004900	-1,815565E-1
0,004950	-1,981956E-1
0,005000	-1,898760E-1
0,005050	-1,898760E-1
0,005100	-1,877961E-1
0,005150	-1,877961E-1
0,005200	-1,877961E-1
0,005250	-2,002755E-1
0,005300	-1,877961E-1
0,005350	-1,961157E-1
0,005400	-1,877961E-1
0,005450	-1,877961E-1
0,005500	-1,857162E-1
0,005550	-1,877961E-1
0,005600	-1,877961E-1
0,005650	-1,649173E-1
0,005700	-1,961157E-1
0,005750	-1,877961E-1
0,005800	-1,981956E-1
0,005850	-1,857162E-1
0,005900	-1,919559E-1
0,005950	-1,732369E-1
0,006000	-1,857162E-1
0,006050	-1,815565E-1
0,006100	-1,773967E-1
0,006150	-1,794766E-1
0,006200	-1,836363E-1
0,006250	-1,836363E-1
0,006300	-1,857162E-1
0,006350	-1,877961E-1
0,006400	-1,836363E-1
0,006450	-1,836363E-1
0,006500	-1,732369E-1
0,006550	-1,815565E-1
0,006600	-1,753168E-1
0,006650	-1,919559E-1
0,006700	-1,773967E-1
0,006750	-1,877961E-1
0,006800	-1,940358E-1
0,006850	-1,877961E-1
0,006900	-1,815565E-1
0,006950	-1,815565E-1
0,007000	-1,753168E-1
0,007050	-1,857162E-1
0,007100	-1,732369E-1
0,007150	-1,857162E-1
0,007200	-1,773967E-1
0,007250	-1,815565E-1
0,007300	-1,836363E-1
0,007350	-1,607575E-1
0,007400	-1,877961E-1
0,007450	-1,836363E-1
0,007500	-1,961157E-1
0,007550	-1,628374E-1
0,007600	-1,961157E-1
0,007650	-1,919559E-1
0,007700	-1,940358E-1
0,007750	-1,836363E-1
0,007800	-2,065152E-1
0,007850	-1,857162E-1
0,007900	-1,732369E-1
0,007950	-1,794766E-1
0,008000	-1,836363E-1
0,008050	-1,794766E-1
0,008100	-1,836363E-1
0,008150	-1,857162E-1
0,008200	-1,898760E-1
0,008250	-1,857162E-1
