date/time: ,12/06/2018,05:14 p.m.
Run 1

time	(MT)
0,000000	-1,961157E-1
0,000050	-2,002755E-1
0,000100	-2,002755E-1
0,000150	-2,023554E-1
0,000200	-2,023554E-1
0,000250	-1,961157E-1
0,000300	-2,106750E-1
0,000350	-1,940358E-1
0,000400	-2,065152E-1
0,000450	-1,981956E-1
0,000500	-2,065152E-1
0,000550	-1,919559E-1
0,000600	-2,023554E-1
0,000650	-2,023554E-1
0,000700	-2,002755E-1
0,000750	-2,023554E-1
0,000800	-2,023554E-1
0,000850	-2,023554E-1
0,000900	-2,023554E-1
0,000950	-2,044353E-1
0,001000	-1,961157E-1
0,001050	-2,023554E-1
0,001100	-1,940358E-1
0,001150	-2,023554E-1
0,001200	-1,940358E-1
0,001250	-2,023554E-1
0,001300	-1,981956E-1
0,001350	-1,961157E-1
0,001400	-1,961157E-1
0,001450	-1,981956E-1
0,001500	-2,023554E-1
0,001550	-1,940358E-1
0,001600	-2,023554E-1
0,001650	-1,940358E-1
0,001700	-2,044353E-1
0,001750	-2,023554E-1
0,001800	-2,023554E-1
0,001850	-1,919559E-1
0,001900	-2,023554E-1
0,001950	-1,981956E-1
0,002000	-1,981956E-1
0,002050	-2,023554E-1
0,002100	-2,023554E-1
0,002150	-2,023554E-1
0,002200	-2,002755E-1
0,002250	-2,065152E-1
0,002300	-1,940358E-1
0,002350	-2,044353E-1
0,002400	-1,981956E-1
0,002450	-1,981956E-1
0,002500	-1,940358E-1
0,002550	-1,981956E-1
0,002600	-1,981956E-1
0,002650	-2,002755E-1
0,002700	-2,023554E-1
0,002750	-1,961157E-1
0,002800	-1,940358E-1
0,002850	-1,981956E-1
0,002900	-2,065152E-1
0,002950	-1,898760E-1
0,003000	-2,023554E-1
0,003050	-1,919559E-1
0,003100	-2,044353E-1
0,003150	-1,940358E-1
0,003200	-2,065152E-1
0,003250	-2,044353E-1
0,003300	-1,981956E-1
0,003350	-1,940358E-1
0,003400	-1,981956E-1
0,003450	-1,961157E-1
0,003500	-2,023554E-1
0,003550	-2,044353E-1
0,003600	-1,940358E-1
0,003650	-2,023554E-1
0,003700	-1,940358E-1
0,003750	-2,023554E-1
0,003800	-1,981956E-1
0,003850	-2,023554E-1
0,003900	-2,023554E-1
0,003950	-1,961157E-1
0,004000	-2,023554E-1
0,004050	-2,002755E-1
0,004100	-2,044353E-1
0,004150	-1,940358E-1
0,004200	-2,023554E-1
0,004250	-2,044353E-1
0,004300	-2,127549E-1
0,004350	-1,961157E-1
0,004400	-2,023554E-1
0,004450	-1,961157E-1
0,004500	-2,023554E-1
0,004550	-1,898760E-1
0,004600	-1,961157E-1
0,004650	-2,002755E-1
0,004700	-1,981956E-1
0,004750	-2,023554E-1
0,004800	-2,023554E-1
0,004850	-2,044353E-1
0,004900	-2,085951E-1
0,004950	-2,106750E-1
0,005000	-1,940358E-1
0,005050	-2,127549E-1
0,005100	-2,002755E-1
0,005150	-2,065152E-1
0,005200	-2,065152E-1
0,005250	-1,857162E-1
0,005300	-1,981956E-1
0,005350	-1,961157E-1
0,005400	-1,857162E-1
0,005450	-2,106750E-1
0,005500	-2,044353E-1
0,005550	-2,044353E-1
0,005600	-2,106750E-1
0,005650	-1,857162E-1
0,005700	-2,106750E-1
0,005750	-2,023554E-1
