date/time: ,12/06/2018,05:06 p.m.
Run 1

time	(MT)
0,000000	-3,874660E-1
0,000050	-3,874660E-1
0,000100	-3,853861E-1
0,000150	-3,687470E-1
0,000200	-3,874660E-1
0,000250	-3,791465E-1
0,000300	-3,957856E-1
0,000350	-3,729068E-1
0,000400	-3,916258E-1
0,000450	-3,874660E-1
0,000500	-4,020253E-1
0,000550	-3,937057E-1
0,000600	-3,957856E-1
0,000650	-3,937057E-1
0,000700	-4,020253E-1
0,000750	-3,791465E-1
0,000800	-3,895459E-1
0,000850	-3,957856E-1
0,000900	-3,978655E-1
0,000950	-4,061851E-1
0,001000	-4,020253E-1
0,001050	-3,895459E-1
0,001100	-3,957856E-1
0,001150	-4,020253E-1
0,001200	-3,895459E-1
0,001250	-4,020253E-1
0,001300	-3,853861E-1
0,001350	-3,978655E-1
0,001400	-4,082650E-1
0,001450	-3,916258E-1
0,001500	-3,957856E-1
0,001550	-3,937057E-1
0,001600	-4,186645E-1
0,001650	-4,041052E-1
0,001700	-3,916258E-1
0,001750	-3,937057E-1
0,001800	-3,916258E-1
0,001850	-3,978655E-1
0,001900	-4,041052E-1
0,001950	-3,957856E-1
0,002000	-4,165846E-1
0,002050	-3,916258E-1
0,002100	-4,165846E-1
0,002150	-3,937057E-1
0,002200	-4,041052E-1
0,002250	-3,978655E-1
0,002300	-4,041052E-1
0,002350	-4,020253E-1
0,002400	-3,957856E-1
0,002450	-3,999454E-1
0,002500	-3,895459E-1
0,002550	-3,853861E-1
0,002600	-3,833062E-1
0,002650	-3,937057E-1
0,002700	-3,937057E-1
0,002750	-4,020253E-1
0,002800	-3,916258E-1
0,002850	-3,853861E-1
0,002900	-3,812263E-1
0,002950	-3,999454E-1
0,003000	-3,874660E-1
0,003050	-3,874660E-1
0,003100	-3,708269E-1
0,003150	-3,791465E-1
0,003200	-3,791465E-1
0,003250	-3,791465E-1
0,003300	-3,708269E-1
0,003350	-3,749867E-1
0,003400	-3,666671E-1
0,003450	-3,645872E-1
0,003500	-3,562676E-1
0,003550	-3,521078E-1
0,003600	-3,541877E-1
0,003650	-3,521078E-1
0,003700	-3,479480E-1
0,003750	-3,375486E-1
0,003800	-3,458681E-1
0,003850	-3,354687E-1
0,003900	-3,458681E-1
0,003950	-3,354687E-1
0,004000	-3,354687E-1
0,004050	-3,271491E-1
0,004100	-3,354687E-1
0,004150	-3,229893E-1
0,004200	-3,313089E-1
0,004250	-3,271491E-1
0,004300	-3,271491E-1
0,004350	-3,188295E-1
0,004400	-3,146697E-1
0,004450	-3,167496E-1
0,004500	-3,105099E-1
0,004550	-3,042702E-1
0,004600	-3,063501E-1
0,004650	-3,084300E-1
0,004700	-2,959507E-1
0,004750	-3,042702E-1
0,004800	-2,959507E-1
0,004850	-3,021903E-1
0,004900	-2,834713E-1
0,004950	-2,876311E-1
0,005000	-2,813914E-1
0,005050	-2,876311E-1
0,005100	-2,689120E-1
0,005150	-2,709919E-1
0,005200	-2,668321E-1
0,005250	-2,564327E-1
0,005300	-2,585126E-1
0,005350	-2,605925E-1
0,005400	-2,501930E-1
0,005450	-2,460332E-1
0,005500	-2,460332E-1
0,005550	-2,418734E-1
0,005600	-2,439533E-1
0,005650	-2,273141E-1
0,005700	-2,397935E-1
0,005750	-2,273141E-1
0,005800	-2,273141E-1
0,005850	-2,148348E-1
0,005900	-2,273141E-1
0,005950	-2,127549E-1
0,006000	-2,189946E-1
0,006050	-2,065152E-1
0,006100	-2,085951E-1
0,006150	-2,065152E-1
0,006200	-2,002755E-1
0,006250	-2,044353E-1
0,006300	-1,961157E-1
0,006350	-1,940358E-1
0,006400	-1,857162E-1
0,006450	-1,815565E-1
0,006500	-1,815565E-1
0,006550	-1,815565E-1
0,006600	-1,690771E-1
0,006650	-1,773967E-1
0,006700	-1,669972E-1
0,006750	-1,753168E-1
0,006800	-1,586776E-1
0,006850	-1,669972E-1
0,006900	-1,482781E-1
0,006950	-1,607575E-1
0,007000	-1,545178E-1
0,007050	-1,482781E-1
0,007100	-1,461982E-1
0,007150	-1,461982E-1
0,007200	-1,399586E-1
0,007250	-1,357988E-1
0,007300	-1,357988E-1
0,007350	-1,295591E-1
0,007400	-1,357988E-1
0,007450	-1,233194E-1
0,007500	-1,274792E-1
0,007550	-1,191596E-1
0,007600	-1,212395E-1
0,007650	-1,108400E-1
0,007700	-1,191596E-1
0,007750	-1,025204E-1
0,007800	-1,129199E-1
0,007850	-1,004406E-1
0,007900	-1,046003E-1
0,007950	-1,025204E-1
0,008000	-9,420087E-2
0,008050	-9,420087E-2
0,008100	-9,420087E-2
0,008150	-9,212098E-2
0,008200	-9,004108E-2
0,008250	-7,964161E-2
0,008300	-7,340192E-2
0,008350	-8,172150E-2
0,008400	-7,756171E-2
0,008450	-7,340192E-2
0,008500	-6,924213E-2
0,008550	-7,132203E-2
0,008600	-6,092255E-2
0,008650	-6,508234E-2
0,008700	-6,092255E-2
0,008750	-6,092255E-2
0,008800	-5,468287E-2
0,008850	-5,468287E-2
0,008900	-6,092255E-2
0,008950	-5,260298E-2
0,009000	-4,636329E-2
0,009050	-4,012361E-2
0,009100	-4,012361E-2
0,009150	-3,804371E-2
0,009200	-3,388392E-2
0,009250	-4,428340E-2
0,009300	-4,636329E-2
0,009350	-3,180403E-2
0,009400	-3,388392E-2
0,009450	-3,596382E-2
0,009500	-2,556434E-2
0,009550	-1,724476E-2
0,009600	-3,804371E-2
0,009650	-1,100508E-2
0,009700	-1,308497E-2
0,009750	-3,180403E-2
0,009800	-1,308497E-2
0,009850	-2,764424E-2
0,009900	-1,308497E-2
0,009950	-1,724476E-2
0,010000	-2,140455E-2
0,010050	-2,685501E-3
0,010100	-1,308497E-2
0,010150	-6,845291E-3
0,010200	-6,056063E-4
0,010250	-1,100508E-2
0,010300	-6,056063E-4
0,010350	-2,685501E-3
0,010400	-6,845291E-3
0,010450	-1,308497E-2
0,010500	-2,685501E-3
0,010550	-1,516487E-2
