date/time: ,12/06/2018,05:03 p.m.
Run 1

time	(MT)
0,000000	-6,130055E+0
0,000050	-6,144615E+0
0,000100	-6,163334E+0
0,000150	-6,144615E+0
0,000200	-6,155014E+0
0,000250	-6,159174E+0
0,000300	-6,186213E+0
0,000350	-6,196612E+0
0,000400	-6,202852E+0
0,000450	-6,200772E+0
0,000500	-6,196612E+0
0,000550	-6,209091E+0
0,000600	-6,211171E+0
0,000650	-6,219491E+0
0,000700	-6,211171E+0
0,000750	-6,244450E+0
0,000800	-6,236130E+0
0,000850	-6,236130E+0
0,000900	-6,236130E+0
0,000950	-6,234050E+0
0,001000	-6,242370E+0
0,001050	-6,256929E+0
0,001100	-6,250689E+0
0,001150	-6,240290E+0
0,001200	-6,250689E+0
0,001250	-6,252769E+0
0,001300	-6,227811E+0
0,001350	-6,246530E+0
0,001400	-6,236130E+0
0,001450	-6,244450E+0
0,001500	-6,246530E+0
0,001550	-6,223651E+0
0,001600	-6,219491E+0
0,001650	-6,188293E+0
0,001700	-6,202852E+0
0,001750	-6,146695E+0
0,001800	-6,130055E+0
0,001850	-6,092617E+0
0,001900	-6,042700E+0
0,001950	-5,984463E+0
0,002000	-5,942865E+0
0,002050	-5,888788E+0
0,002100	-5,828471E+0
0,002150	-5,759834E+0
0,002200	-5,695357E+0
0,002250	-5,618401E+0
0,002300	-5,562244E+0
0,002350	-5,504007E+0
0,002400	-5,414572E+0
0,002450	-5,354255E+0
0,002500	-5,277299E+0
0,002550	-5,216982E+0
0,002600	-5,131706E+0
0,002650	-5,077629E+0
0,002700	-5,002753E+0
0,002750	-4,940356E+0
0,002800	-4,880039E+0
0,002850	-4,821802E+0
0,002900	-4,753165E+0
0,002950	-4,697008E+0
0,003000	-4,628371E+0
0,003050	-4,570134E+0
0,003100	-4,505658E+0
0,003150	-4,439101E+0
0,003200	-4,385024E+0
0,003250	-4,308068E+0
0,003300	-4,253990E+0
0,003350	-4,172875E+0
0,003400	-4,108398E+0
0,003450	-4,018962E+0
0,003500	-3,952406E+0
